Job,Operation,Machine,Processing Time
Job_000,0,M0,29
Job_000,1,M1,78
Job_000,2,M2,9
Job_000,3,M3,36
Job_000,4,M4,49
Job_000,5,M5,11
Job_000,6,M6,62
Job_000,7,M7,56
Job_000,8,M8,44
Job_000,9,M9,21
Job_001,0,M0,43
Job_001,1,M2,90
Job_001,2,M4,75
Job_001,3,M9,11
Job_001,4,M3,69
Job_001,5,M1,28
Job_001,6,M6,46
Job_001,7,M5,46
Job_001,8,M7,72
Job_001,9,M8,30
Job_002,0,M1,91
Job_002,1,M0,85
Job_002,2,M3,39
Job_002,3,M2,74
Job_002,4,M8,90
Job_002,5,M5,10
Job_002,6,M7,12
Job_002,7,M6,89
Job_002,8,M9,45
Job_002,9,M4,33
Job_003,0,M1,81
Job_003,1,M2,95
Job_003,2,M0,71
Job_003,3,M4,99
Job_003,4,M6,9
Job_003,5,M8,52
Job_003,6,M7,85
Job_003,7,M3,98
Job_003,8,M9,22
Job_003,9,M5,43
Job_004,0,M2,14
Job_004,1,M0,6
Job_004,2,M1,22
Job_004,3,M5,61
Job_004,4,M3,26
Job_004,5,M4,69
Job_004,6,M8,21
Job_004,7,M7,49
Job_004,8,M9,72
Job_004,9,M6,53
Job_005,0,M2,84
Job_005,1,M1,2
Job_005,2,M5,52
Job_005,3,M3,95
Job_005,4,M8,48
Job_005,5,M9,72
Job_005,6,M0,47
Job_005,7,M6,65
Job_005,8,M4,6
Job_005,9,M7,25
Job_006,0,M1,46
Job_006,1,M0,37
Job_006,2,M3,61
Job_006,3,M2,13
Job_006,4,M6,32
Job_006,5,M5,21
Job_006,6,M9,32
Job_006,7,M8,89
Job_006,8,M7,30
Job_006,9,M4,55
Job_007,0,M2,31
Job_007,1,M0,86
Job_007,2,M1,46
Job_007,3,M5,74
Job_007,4,M4,32
Job_007,5,M6,88
Job_007,6,M8,19
Job_007,7,M9,48
Job_007,8,M7,36
Job_007,9,M3,79
Job_008,0,M0,76
Job_008,1,M1,69
Job_008,2,M3,76
Job_008,3,M5,51
Job_008,4,M2,85
Job_008,5,M9,11
Job_008,6,M6,40
Job_008,7,M7,89
Job_008,8,M4,26
Job_008,9,M8,74
Job_009,0,M1,85
Job_009,1,M0,13
Job_009,2,M2,61
Job_009,3,M6,7
Job_009,4,M8,64
Job_009,5,M9,76
Job_009,6,M5,47
Job_009,7,M3,52
Job_009,8,M4,90
Job_009,9,M7,45
Job_010,0,M0,29
Job_010,1,M1,78
Job_010,2,M2,9
Job_010,3,M3,36
Job_010,4,M4,49
Job_010,5,M5,11
Job_010,6,M6,62
Job_010,7,M7,56
Job_010,8,M8,44
Job_010,9,M9,21
Job_011,0,M1,85
Job_011,1,M0,13
Job_011,2,M2,61
Job_011,3,M6,7
Job_011,4,M8,64
Job_011,5,M9,76
Job_011,6,M5,47
Job_011,7,M3,52
Job_011,8,M4,90
Job_011,9,M7,45
Job_012,0,M2,84
Job_012,1,M1,2
Job_012,2,M5,52
Job_012,3,M3,95
Job_012,4,M8,48
Job_012,5,M9,72
Job_012,6,M0,47
Job_012,7,M6,65
Job_012,8,M4,6
Job_012,9,M7,25
Job_013,0,M2,31
Job_013,1,M0,86
Job_013,2,M1,46
Job_013,3,M5,74
Job_013,4,M4,32
Job_013,5,M6,88
Job_013,6,M8,19
Job_013,7,M9,48
Job_013,8,M7,36
Job_013,9,M3,79
Job_014,0,M2,14
Job_014,1,M0,6
Job_014,2,M1,22
Job_014,3,M5,61
Job_014,4,M3,26
Job_014,5,M4,69
Job_014,6,M8,21
Job_014,7,M7,49
Job_014,8,M9,72
Job_014,9,M6,53
Job_015,0,M1,46
Job_015,1,M0,37
Job_015,2,M3,61
Job_015,3,M2,13
Job_015,4,M6,32
Job_015,5,M5,21
Job_015,6,M9,32
Job_015,7,M8,89
Job_015,8,M7,30
Job_015,9,M4,55
Job_016,0,M0,43
Job_016,1,M2,90
Job_016,2,M4,75
Job_016,3,M9,11
Job_016,4,M3,69
Job_016,5,M1,28
Job_016,6,M6,46
Job_016,7,M5,46
Job_016,8,M7,72
Job_016,9,M8,30
Job_017,0,M1,91
Job_017,1,M0,85
Job_017,2,M3,39
Job_017,3,M2,74
Job_017,4,M8,90
Job_017,5,M5,10
Job_017,6,M7,12
Job_017,7,M6,89
Job_017,8,M9,45
Job_017,9,M4,33
Job_018,0,M0,76
Job_018,1,M1,69
Job_018,2,M3,76
Job_018,3,M5,51
Job_018,4,M2,85
Job_018,5,M9,11
Job_018,6,M6,40
Job_018,7,M7,89
Job_018,8,M4,26
Job_018,9,M8,74
Job_019,0,M1,81
Job_019,1,M2,95
Job_019,2,M0,71
Job_019,3,M4,99
Job_019,4,M6,9
Job_019,5,M8,52
Job_019,6,M7,85
Job_019,7,M3,98
Job_019,8,M9,22
Job_019,9,M5,43
Job_020,0,M0,43
Job_020,1,M2,90
Job_020,2,M4,75
Job_020,3,M9,11
Job_020,4,M3,69
Job_020,5,M1,28
Job_020,6,M6,46
Job_020,7,M5,46
Job_020,8,M7,72
Job_020,9,M8,30
Job_021,0,M2,84
Job_021,1,M1,2
Job_021,2,M5,52
Job_021,3,M3,95
Job_021,4,M8,48
Job_021,5,M9,72
Job_021,6,M0,47
Job_021,7,M6,65
Job_021,8,M4,6
Job_021,9,M7,25
Job_022,0,M1,85
Job_022,1,M0,13
Job_022,2,M2,61
Job_022,3,M6,7
Job_022,4,M8,64
Job_022,5,M9,76
Job_022,6,M5,47
Job_022,7,M3,52
Job_022,8,M4,90
Job_022,9,M7,45
Job_023,0,M0,76
Job_023,1,M1,69
Job_023,2,M3,76
Job_023,3,M5,51
Job_023,4,M2,85
Job_023,5,M9,11
Job_023,6,M6,40
Job_023,7,M7,89
Job_023,8,M4,26
Job_023,9,M8,74
Job_024,0,M1,81
Job_024,1,M2,95
Job_024,2,M0,71
Job_024,3,M4,99
Job_024,4,M6,9
Job_024,5,M8,52
Job_024,6,M7,85
Job_024,7,M3,98
Job_024,8,M9,22
Job_024,9,M5,43
Job_025,0,M1,91
Job_025,1,M0,85
Job_025,2,M3,39
Job_025,3,M2,74
Job_025,4,M8,90
Job_025,5,M5,10
Job_025,6,M7,12
Job_025,7,M6,89
Job_025,8,M9,45
Job_025,9,M4,33
Job_026,0,M1,46
Job_026,1,M0,37
Job_026,2,M3,61
Job_026,3,M2,13
Job_026,4,M6,32
Job_026,5,M5,21
Job_026,6,M9,32
Job_026,7,M8,89
Job_026,8,M7,30
Job_026,9,M4,55
Job_027,0,M2,31
Job_027,1,M0,86
Job_027,2,M1,46
Job_027,3,M5,74
Job_027,4,M4,32
Job_027,5,M6,88
Job_027,6,M8,19
Job_027,7,M9,48
Job_027,8,M7,36
Job_027,9,M3,79
Job_028,0,M0,29
Job_028,1,M1,78
Job_028,2,M2,9
Job_028,3,M3,36
Job_028,4,M4,49
Job_028,5,M5,11
Job_028,6,M6,62
Job_028,7,M7,56
Job_028,8,M8,44
Job_028,9,M9,21
Job_029,0,M2,14
Job_029,1,M0,6
Job_029,2,M1,22
Job_029,3,M5,61
Job_029,4,M3,26
Job_029,5,M4,69
Job_029,6,M8,21
Job_029,7,M7,49
Job_029,8,M9,72
Job_029,9,M6,53
Job_030,0,M0,29
Job_030,1,M1,78
Job_030,2,M2,9
Job_030,3,M3,36
Job_030,4,M4,49
Job_030,5,M5,11
Job_030,6,M6,62
Job_030,7,M7,56
Job_030,8,M8,44
Job_030,9,M9,21
Job_031,0,M0,43
Job_031,1,M2,90
Job_031,2,M4,75
Job_031,3,M9,11
Job_031,4,M3,69
Job_031,5,M1,28
Job_031,6,M6,46
Job_031,7,M5,46
Job_031,8,M7,72
Job_031,9,M8,30
Job_032,0,M1,46
Job_032,1,M0,37
Job_032,2,M3,61
Job_032,3,M2,13
Job_032,4,M6,32
Job_032,5,M5,21
Job_032,6,M9,32
Job_032,7,M8,89
Job_032,8,M7,30
Job_032,9,M4,55
Job_033,0,M1,91
Job_033,1,M0,85
Job_033,2,M3,39
Job_033,3,M2,74
Job_033,4,M8,90
Job_033,5,M5,10
Job_033,6,M7,12
Job_033,7,M6,89
Job_033,8,M9,45
Job_033,9,M4,33
Job_034,0,M0,76
Job_034,1,M1,69
Job_034,2,M3,76
Job_034,3,M5,51
Job_034,4,M2,85
Job_034,5,M9,11
Job_034,6,M6,40
Job_034,7,M7,89
Job_034,8,M4,26
Job_034,9,M8,74
Job_035,0,M2,84
Job_035,1,M1,2
Job_035,2,M5,52
Job_035,3,M3,95
Job_035,4,M8,48
Job_035,5,M9,72
Job_035,6,M0,47
Job_035,7,M6,65
Job_035,8,M4,6
Job_035,9,M7,25
Job_036,0,M2,14
Job_036,1,M0,6
Job_036,2,M1,22
Job_036,3,M5,61
Job_036,4,M3,26
Job_036,5,M4,69
Job_036,6,M8,21
Job_036,7,M7,49
Job_036,8,M9,72
Job_036,9,M6,53
Job_037,0,M2,31
Job_037,1,M0,86
Job_037,2,M1,46
Job_037,3,M5,74
Job_037,4,M4,32
Job_037,5,M6,88
Job_037,6,M8,19
Job_037,7,M9,48
Job_037,8,M7,36
Job_037,9,M3,79
Job_038,0,M1,81
Job_038,1,M2,95
Job_038,2,M0,71
Job_038,3,M4,99
Job_038,4,M6,9
Job_038,5,M8,52
Job_038,6,M7,85
Job_038,7,M3,98
Job_038,8,M9,22
Job_038,9,M5,43
Job_039,0,M1,85
Job_039,1,M0,13
Job_039,2,M2,61
Job_039,3,M6,7
Job_039,4,M8,64
Job_039,5,M9,76
Job_039,6,M5,47
Job_039,7,M3,52
Job_039,8,M4,90
Job_039,9,M7,45
Job_040,0,M0,29
Job_040,1,M1,78
Job_040,2,M2,9
Job_040,3,M3,36
Job_040,4,M4,49
Job_040,5,M5,11
Job_040,6,M6,62
Job_040,7,M7,56
Job_040,8,M8,44
Job_040,9,M9,21
Job_041,0,M1,85
Job_041,1,M0,13
Job_041,2,M2,61
Job_041,3,M6,7
Job_041,4,M8,64
Job_041,5,M9,76
Job_041,6,M5,47
Job_041,7,M3,52
Job_041,8,M4,90
Job_041,9,M7,45
Job_042,0,M0,76
Job_042,1,M1,69
Job_042,2,M3,76
Job_042,3,M5,51
